nivel,partida,letras,palabras
4,1,DOBARO,ARO;BAR;BOA;DAR;ODA;ORA;ORO;ABRO;ARDO;BODA;OBRA;RABO;ROBA;ROBO;ADORO;BARDO;BORDA;BORDO;ABORDO;OBRADO;ROBADO
4,1,OPCURE,CUERPO;PUERCO;CUERO;OCUPE;CEPO;CERO;CREO;CREP;CUPO;CURE;CURO;EURO;OCRE;PEOR;PERO;PERU;PURE;PURO;ROCE;ECO;POR;REO
4,2,TIEMPO,EMITO;METIO;MIOPE;OMITE;TEMIO;TEMPO;ITEM;METI;METO;MITO;MOTE;PETO;PITO;POTE;TEMI;TEMO;TIPO;TOME;TOPE;MIO;PIE;TIO;MI;TE
4,2,TREAXS,EXTRAS;ARTES;ESTAR;EXTRA;RESTA;RETAS;SEXTA;TRAES;ARTE;ERAS;ESTA;SERA;SETA;TRAE;TRAS;TRES;ERA;ESA;RAS;RES;SEA;SER;AS;ES;EX;TE
4,3,REATON,RATON;NO;EN;ARO;ANO;ERA;ANTE;ARTE;ATEO;OTRA;TREN;NOTA;RETO;TRAE;NETO;RETA;RENO;ERAN;ROTA;NORTE;ANTRO;TENOR;RENTA;ENTRA;ENTRO
4,3,PLTEAA,PALETA;PLATEA;ALETA;APELA;ETAPA;PALTA;PATEA;PLATA;ALTA;APTA;LATA;LATE;PALA;PATA;PELA;TALA;TAPA;TELA;ALA;ATA;LEA;TAL;AL;EL;LA;TE
5,1,OIBARR,IR;ARO;BAR;BOA;IBA;IRA;OIA;OIR;ORA;RIO;ABRI;ABRO;ARIO;OBRA;OIRA;ORAR;RABO;RARO;ROBA;ABRIO;ABRIR;BARRI;BARRO;BORRA;OBRAR;ROBAR;ARRIBO;BARRIO
5,1,SIPURA,RUPIAS;PARIS;PISAR;PRISA;PURAS;RUPIA;RUSIA;IRAS;PAIS;PIRA;PISA;PUAS;PURA;RIAS;RISA;RUSA;USAR;ASI;IRA;PAR;PIS;PUA;PUS;RAS;RIA;SUR;USA;AS;IR;SI;SU
5,2,NOMICA,MI;NI;NO;AMO;ANO;CAN;CON;ION;MIA;MIO;OCA;CIAN;CIMA;COMA;COMI;IMAN;INCA;MANI;MANO;MINA;MOAI;ANIMO;COIMA;COMAN;COMIA;MANCO;NACIO;CAMINO;CAMION;COMIAN
5,2,MSNEOT,EN;ES;NO;SE;TE;ESO;MES;SON;TEN;TOS;ESTO;METO;MOTE;NETO;SENO;TEMO;TOME;TOSE;MENOS;MENSO;MENTO;MESON;MONTE;MOTES;NETOS;NOTES;TENSO;TOMEN;TOMES;TOSEN;MONTES
5,3,TARSAL,AL;AS;LA;ALA;ATA;LAS;RAS;SAL;TAL;ALAS;ALTA;ASAR;ATAR;LATA;RATA;SALA;TALA;TASA;TRAS;ALTAR;ALTAS;ATLAS;ATRAS;LATAS;RATAS;SALAR;SALTA;TALAR;TASAR;ASTRAL;SALTAR
5,3,TAMESI,AS;ES;MI;SI;TE;AME;ATE;ESA;MAS;MES;MIA;MIS;TIA;ESTA;ITEM;MATE;MESA;META;MIAS;MISA;SETA;TEMA;EMITA;ITEMS;MATES;METAS;TEMAS;TEMIA;EMITAS;ESTIMA;MESITA;SEMITA;TEMIAS
